# forestry
# 5.8.2.414
Beekeeping statistics for TextComponent{text='', siblings=[TextComponent{text='Rehzotto', siblings=[], style=Style{hasParent=true, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Rehzotto '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Rehzotto",id:"5e191503-6aaa-4d24-99a3-a5bcaecdbc64"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Rehzotto}}], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Rehzotto '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Rehzotto",id:"5e191503-6aaa-4d24-99a3-a5bcaecdbc64"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Rehzotto}} on 3/21/20 2:34 PM:

Mode: EASY

Discovered:
-----------
Queen:		0
Princess:	0
[    ] [    ] [    ]	morebees.species.ardite                  Ardite               Tencao              
[    ] [    ] [    ]	morebees.species.osmium                  Osmium               Tencao              
[    ] [    ] [    ]	morebees.species.nickel                  Nickel               Tencao              
[    ] [    ] [    ]	morebees.species.platinum                Platinum             Tencao              
[    ] [    ] [    ]	morebees.species.iridium                 Iridium              Tencao              
[    ] [    ] [    ]	morebees.species.radioactive             Radioactive          Tencao              
[    ] [ BL ] [    ]	morebees.species.resonating              Resonating           Tencao              
[    ] [ BL ] [    ]	morebees.species.yellorite               Yellorite            Tencao              
[    ] [ BL ] [    ]	morebees.species.uranium                 Uranic               Tencao              
[    ] [    ] [    ]	morebees.species.prismarine              Prismarine           Tencao              
[    ] [    ] [    ]	morebees.species.apocalyptic             Apocalyptic          Tencao              
[    ] [    ] [    ]	morebees.species.wither                  Withering            Tencao              
[    ] [    ] [    ]	morebees.species.netherstar              Wither               Tencao              
[    ] [    ] [    ]	morebees.species.slimy                   Slimy                Tencao              
[    ] [    ] [    ]	morebees.species.blueslimy               Blue Slimy           Tencao              
[    ] [    ] [    ]	morebees.species.purpleslimy             Purple Slimy         Tencao              
[    ] [    ] [    ]	morebees.species.magmaslimy              Magma Slimy          Tencao              
[    ] [    ] [    ]	morebees.species.stringy                 Stringy              Tencao              
[    ] [    ] [    ]	morebees.species.draconic                Draconic             Tencao              
